,Fraction of Accurate Reassortants,Fraction of Inaccurate Reassortants,Fraction of Accurate Edges,Fraction of Inaccurate Edges,Fraction of Accurate Reassortant Edges,Fraction of Inaccurate Reassortant Edges,Path Accuracy,Reassortant Path Accuracy
0,0.8888888888888888,0.0,0.9655172413793104,0.13846153846153847,0.8888888888888888,0.1111111111111111,0.8615384615384616,0.8888888888888888
1,1.0,0.0,1.0,0.19696969696969696,1.0,0.3333333333333333,0.803030303030303,0.6666666666666666
2,0.6666666666666666,0.0,0.896551724137931,0.2676056338028169,0.6666666666666666,0.07692307692307693,0.7323943661971831,0.9230769230769231
3,1.0,0.0,1.0,0.1746031746031746,1.0,0.0,0.8253968253968254,1.0
4,1.0,0.0,1.0,0.325,1.0,0.5238095238095238,0.675,0.47619047619047616
5,1.0,0.0,1.0,0.22727272727272727,1.0,0.2,0.7727272727272727,0.8
6,1.0,0.0,1.0,0.07017543859649122,1.0,0.1111111111111111,0.9298245614035088,0.8888888888888888
7,1.0,0.0,1.0,0.16417910447761194,1.0,0.17647058823529413,0.835820895522388,0.8235294117647058
8,0.8333333333333334,0.0,0.9636363636363636,0.208955223880597,0.8333333333333334,0.23076923076923078,0.7910447761194029,0.7692307692307693
9,1.0,0.0,1.0,0.11290322580645161,1.0,0.2,0.8870967741935484,0.8
10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
11,1.0,0.0,1.0,0.19402985074626866,1.0,0.4117647058823529,0.8059701492537313,0.5882352941176471
12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
13,1.0,0.0,1.0,0.109375,1.0,0.0,0.890625,1.0
14,1.0,0.0,1.0,0.2962962962962963,1.0,0.42857142857142855,0.7037037037037037,0.5714285714285714
15,1.0,0.0,1.0,0.03508771929824561,1.0,0.14285714285714285,0.9649122807017544,0.8571428571428571
16,1.0,0.0,1.0,0.18840579710144928,1.0,0.3,0.8115942028985508,0.7
17,1.0,0.0,1.0,0.16901408450704225,1.0,0.2857142857142857,0.8309859154929577,0.7142857142857143
18,0.75,0.0,0.9622641509433962,0.32894736842105265,0.75,0.5384615384615384,0.6710526315789473,0.46153846153846156
19,1.0,0.0,1.0,0.09375,1.0,0.25,0.90625,0.75
20,0.8888888888888888,0.0,0.9655172413793104,0.13846153846153847,0.8888888888888888,0.2727272727272727,0.8615384615384616,0.7272727272727273
21,1.0,0.0,1.0,0.11475409836065574,1.0,0.23076923076923078,0.8852459016393442,0.7692307692307693
22,1.0,0.0,1.0,0.01818181818181818,1.0,0.09090909090909091,0.9818181818181818,0.9090909090909091
23,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
24,0.8,0.0,0.9629629629629629,0.018867924528301886,0.8,0.0,0.9811320754716981,1.0
25,1.0,0.0,1.0,0.2,1.0,0.06666666666666667,0.8,0.9333333333333333
26,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
27,1.0,0.0,1.0,0.2153846153846154,1.0,0.2,0.7846153846153846,0.8
28,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
29,1.0,0.0,1.0,0.19047619047619047,1.0,0.3333333333333333,0.8095238095238095,0.6666666666666666
